model,timm_name,epoch,train_loss,train_accuracy,train_macro_f1,train_f1_sem_garimpo,train_f1_com_garimpo,train_recall_com_garimpo,train_precision_com_garimpo,train_time_s,val_loss,val_accuracy,val_macro_f1,val_f1_sem_garimpo,val_f1_com_garimpo,val_recall_com_garimpo,val_precision_com_garimpo
Swin Transformer (v2 bloques),swin_tiny_patch4_window7_224,8,0.41385980989962584,0.7948653480835848,0.7948550190585404,0.7963106796116505,0.7933993585054302,0.7953237815884476,0.7914842258897496,176.0,0.3768532019808125,0.8081486862816322,0.8062174246562028,0.7868720156029323,0.8255628337094733,0.8878759175941274,0.771422693138566
Swin Transformer (v2 bloques),swin_tiny_patch4_window7_224,9,0.4078169651991403,0.7992652810369874,0.7992405249888501,0.8014698771878929,0.7970111727898075,0.7957186371841155,0.7983079143204777,205.0,0.44741369778285206,0.7741857367720063,0.769625453537173,0.7372129068620544,0.8020380002122917,0.8946246744020838,0.7268180069257407
Swin Transformer (v2 bloques),swin_tiny_patch4_window7_224,10,0.40256990387441327,0.803986478936194,0.8039760176858434,0.8054080288428205,0.8025440065288663,0.8043208483754513,0.8007749978940275,205.0,0.4341128802440951,0.7883521007385882,0.7863726891953033,0.7658092175777064,0.8069361608129004,0.8650248638408714,0.7561581453115297
Swin Transformer (v2 bloques),swin_tiny_patch4_window7_224,11,0.3969909144268447,0.8067102469549671,0.8066923945459885,0.8085500830105147,0.8048347060814622,0.8047439079422383,0.8049255247122545,179.4,0.42390888995762843,0.7898050611454172,0.7873411097709371,0.7644504748982361,0.810231744643638,0.8775751835188255,0.75248730964467
ViT tiny (v2 bloques),vit_tiny_patch16_224,1,0.5326032403568034,0.713361828137222,0.7127739100898585,0.725768732209913,0.6997790879698038,0.6745261732851986,0.7269963826488738,99.0,0.41177584915245424,0.8020946845865117,0.8002695554210153,0.781176785594752,0.8193623252472786,0.8778119820033152,0.7682105481297274
ViT tiny (v2 bloques),vit_tiny_patch16_224,2,0.4946038486245145,0.7395798413230529,0.73945390093094,0.7451821884481863,0.7337256134136936,0.7244754061371841,0.7432150917192292,100.0,0.38964537281521816,0.8059087056544376,0.8058947619424697,0.8075399207587945,0.8042496031261448,0.7797774094245797,0.8303076147251639
ViT tiny (v2 bloques),vit_tiny_patch16_224,3,0.4807604641498221,0.750963794837412,0.7508812735078927,0.7554153234103848,0.7463472236054005,0.7397901624548736,0.7530215600149284,105.5,0.39927295341461677,0.8036081850102919,0.8033129139587947,0.7956921526640635,0.810933675253526,0.8237035282974189,0.7985537190082644
ViT tiny (v2 bloques),vit_tiny_patch16_224,4,0.47477315370430956,0.7549446865571572,0.7548874503032719,0.7586330242412569,0.751141876365287,0.7467565433212996,0.7555790194623595,107.3,0.4149864131160994,0.7973120232473665,0.794691944496122,0.7714987714987716,0.8178851174934726,0.8901255031967795,0.7564902394848058
ViT tiny (v2 bloques),vit_tiny_patch16_224,5,0.46849284958394494,0.7584646329198793,0.7584098572443849,0.7620476124948397,0.7547721019939303,0.7505358754512635,0.7590564207884077,102.6,0.40151604000744656,0.7938612422811478,0.7936431438454536,0.7869344847005819,0.8003518029903254,0.8080748283210988,0.7927750029039378
ViT tiny (v2 bloques),vit_tiny_patch16_224,6,0.4622690083594519,0.7632975751480613,0.7632472289038443,0.7666997081337078,0.7597947496739809,0.7558946299638989,0.7637353242904366,101.9,0.3986543500982022,0.8040925051459015,0.8024897001509588,0.7846972721224218,0.8202821281794958,0.8743784039782145,0.772489539748954
ViT tiny (v2 bloques),vit_tiny_patch16_224,7,0.4574216897826792,0.7655324617275673,0.7654923769320874,0.7685583498786676,0.7624264039855072,0.7596739620938628,0.7651988636363637,96.3,0.4005197138947398,0.7900472212132219,0.7900211659033554,0.7923601963836666,0.787682135423044,0.7616623253611177,0.8155425963488844
ViT tiny (v2 bloques),vit_tiny_patch16_224,8,0.4522268284045194,0.7686473348977539,0.7686224136419084,0.7710237091311261,0.7662211181526909,0.7655403880866426,0.7669030599271043,113.4,0.40182558916313393,0.793619082213343,0.7922703064047789,0.8090089080620763,0.7755317047474815,0.6972531375799195,0.8736092567868269
ViT tiny (v2 bloques),vit_tiny_patch16_224,9,0.44526537601102434,0.7735780534137893,0.7735474693746525,0.7761791671269193,0.7709157716223856,0.7692633122743683,0.7725753455699071,115.8,0.41074914853730754,0.7968882431287081,0.7968243149914958,0.8004282909999405,0.7932203389830509,0.7618991238456074,0.8272271500192827
